NAME                   FLOAT         INTEGER          ANSWER      SCI ANSWER 
John Ted           36.872093          289231     10664552.00   1.066455e+07
Matt Jason          0.901837          185598       167379.17   1.673792e+05
Hans Matt           0.364732          172379        62872.15   6.287215e+04
Jake Dave          22.168354          956933     21213630.00   2.121363e+07
Jason Ted           0.011175          114450         1279.02   1.279017e+03
Megan Mega          0.465882          649490       302586.00   3.025860e+05
Matt Hans           0.450588          667389       300717.53   3.007175e+05
Megan Spen         76.464287          415050     31736502.00   3.173650e+07
Pritzl Han          0.770707          831395       640761.62   6.407616e+05
Jake Pritz         12.186291          635959      7749981.50   7.749982e+06
Spencer Sk         92.283295          285452     26342452.00   2.634245e+07
Ski Megan           0.050258          449741        22603.11   2.260311e+04
Dave Megan          0.678869          269319       182832.31   1.828323e+05
Jake Jake           0.697148          438886       305968.62   3.059686e+05
Ski Dave            0.680976          285010       194085.02   1.940850e+05
Dave Hans          85.422752          160010     13668495.00   1.366850e+07
Ted Pritzl          0.357192          764491       273069.91   2.730699e+05
Jake Ted            0.000699           80313           56.14   5.613602e+01
Jason Spen          0.859891          393407       338287.12   3.382871e+05
Ted Hans           13.054523          511490      6677257.50   6.677258e+06
Spencer Da         77.816292          750256     58382140.00   5.838214e+07
Matt Ski            0.404753          618329       250270.62   2.502706e+05
Jason Prit          0.708282          994539       704414.31   7.044143e+05
Hans Hans          62.270355           63299      3941651.25   3.941651e+06
Dave Hans          95.841896          590089     56555248.00   5.655525e+07
Megan Jake          0.270158          541682       146339.80   1.463398e+05
Jason Hans          0.629991          496625       312869.34   3.128693e+05
Matt Dave          35.711060           75349      2690792.75   2.690793e+06
Pritzl Mat          8.089968          378638      3063169.25   3.063169e+06
Jake Jason          0.515071          903726       465483.34   4.654833e+05
Jake Hans          82.430977          313619     25851920.00   2.585192e+07
John Megan         16.947010            4365        73973.70   7.397370e+04
Jake Dave           0.529955          388730       206009.25   2.060092e+05
Megan Mega         18.277403          192619      3520575.00   3.520575e+06
Pritzl Jas         50.461239          989545     49933668.00   4.993367e+07
Ted Megan           0.405327           96566        39140.81   3.914081e+04
Megan Mega          6.109884          310167      1895084.38   1.895084e+06
Jake Megan         87.981201          112200      9871491.00   9.871491e+06
Matt Dave           0.897917          610075       547796.94   5.477969e+05
Ski Jake           30.062649          622087     18701582.00   1.870158e+07
Dave Spenc         51.533665           68751      3542991.00   3.542991e+06
Dave Hans           8.373124          355882      2979844.25   2.979844e+06
John Pritz         48.723114          607764     29612154.00   2.961215e+07
Dave Jason          0.681895          527929       359992.41   3.599924e+05
Hans Pritz         75.580856          380519     28759952.00   2.875995e+07
Ski Hans           51.116444          575865     29436170.00   2.943617e+07
Dave Pritz          0.742001          483551       358795.56   3.587956e+05
Matt Jason         56.642002          151142      8560985.00   8.560985e+06
Ski Megan          71.106239          382891     27225940.00   2.722594e+07
John Matt          22.170090           94486      2094763.12   2.094763e+06
